unique_transaction_id,transaction_status,fyq,cfda_program_num,sai_number,account_title,recipient_name,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_zip,recipient_type,action_type,agency_code,federal_award_id,federal_award_mod,fed_funding_amount,non_fed_funding_amount,total_funding_amount,obligation_action_date,starting_date,ending_date,assistance_type,record_type,correction_late_ind,fyq_correction,principal_place_code,principal_place_state,principal_place_cc,principal_place_country_code,principal_place_zip,principal_place_cd,cfda_program_title,agency_name,project_description,duns_no,duns_conf_code,progsrc_agen_code,progsrc_acnt_code,progsrc_subacnt_code,receip_addr1,receip_addr2,receip_addr3,face_loan_guran,orig_sub_guran,fiscal_year,principal_place_state_code,recip_cat_type,asst_cat_type,recipient_cd,maj_agency_cat,rec_flag,recipient_country_code,uri,recipient_state_code,exec1_fullname,exec1_amount,exec2_fullname,exec2_amount,exec3_fullname,exec3_amount,exec4_fullname,exec4_amount,exec5_fullname,exec5_amount,last_modified_date
4e69ad61047451ec0af4acd2d5b98b88,active,,97.077,,"Research, Development, and Operations","REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,BERKELEY,01,Alameda,947045940,20: Private higher education,B: Continuation (funding in succeeding budget period which stemmed from prior agreement to fund amount of the current action),7051: IMMEDIATE OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT,12DN077ARI06403,0000,398514.00,.00,398514.00,08/20/2013,09/01/2013,08/31/2014,04: Project grant,2: Individual action,: Current record,,,California,BERKELEY,USA,947045940,CA06,"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",IMMEDIATE OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT,ARI-MA: Electron Tracking for Advanced Gamma-Ray Imaging Applications in Homeland Security,124726725,,70,0860,,2150 SHATTUCK AVE RM 313,,,.00,.00,2013,,h: Higher Education,g,CA13,"7000: HOMELAND SECURITY, DEPARTMENT OF",NON,USA,,CA,,,,,,,,,,,09/13/2013
bdd0b3981870d29826f832e52ab8d170,active,,47.070,SAI EXEMPT,Research and Related Activities,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,Berkeley,001,Alameda,947045940,06: State controlled institution of higher education,A: New assistance action,4900: NATIONAL SCIENCE FOUNDATION,1320005,000,498299.00,.00,.00,08/26/2013,10/01/2013,09/30/2016,04: Project grant,2: Individual action,: Current record,,0606000,California,Berkeley,USA,947045940,CA13,Computer and Information Science and Engineering,NATIONAL SCIENCE FOUNDATION,CSR: Small: A Node OS for High-Performance Cloud Computing,124726725,,49,0100,,Sponsored Projects Office,"2150 Shattuck Avenue, Room 313",,.00,.00,2013,CA,h: Higher Education,g,CA13,4900: NATIONAL SCIENCE FOUNDATION,NON,USA,NONA201308261320005000,CA,,,,,,,,,,,09/13/2013
fb631e0e400008dc9a26c9d0f6171257,active,,47.070,SAI EXEMPT,Research and Related Activities,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,Berkeley,001,Alameda,947045940,06: State controlled institution of higher education,A: New assistance action,4900: NATIONAL SCIENCE FOUNDATION,1353155,000,96353.00,.00,.00,08/30/2013,10/01/2013,09/30/2015,04: Project grant,2: Individual action,: Current record,,0606000,California,Berkeley,USA,947201776,CA13,Computer and Information Science and Engineering,NATIONAL SCIENCE FOUNDATION,EAGER: Image and Video Forensics: Detecting Image Manipulation by Content Analysis,124726725,,49,0100,,Sponsored Projects Office,"2150 Shattuck Avenue, Room 313",,.00,.00,2013,CA,h: Higher Education,g,CA13,4900: NATIONAL SCIENCE FOUNDATION,NON,USA,NONA201308301353155000,CA,,,,,,,,,,,09/13/2013
6138416d962d3a8c2f5e15217e195784,active,,93.859,SAI UNAVAILABLE,,"UNIVERSITY OF CALIFORNIA, REGENTS",06000,BERKELEY,001,Alameda,94704,06: State controlled institution of higher education,B: Continuation (funding in succeeding budget period which stemmed from prior agreement to fund amount of the current action),7529: NATIONAL INSTITUTES OF HEALTH,R01GM093182,000,262901.00,.00,262901.00,03/04/2013,03/01/2010,06/30/2018,04: Project grant,2: Individual action,C: Current transaction record is a request to replace a previously submitted record that contained data submission errors. Record contains replacement (not delta) values for all data fields that contain submission errors.,,,CALIFORNIA,Berkeley,USA,947203140,13,Biomedical Research and Research Training,NATIONAL INSTITUTES OF HEALTH,"Comparative genomics of sex chromosomes in Diptera: gene trafficking, dosage comp",124726725,,75,0851,,481 UNIVERSITY HALL,,,.00,.00,2013,,h: Higher Education,g,CA9,"7500: HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NON,USA,75-127-R01GM093182-000-4-2013-93859-75-0851-NON,CA,,,,,,,,,,,08/05/2014
0d74643f441d26a8fa0db6ad5583bfb5,active,,93.859,SAI UNAVAILABLE,,"UNIVERSITY OF CALIFORNIA, REGENTS",06000,BERKELEY,001,Alameda,94704,06: State controlled institution of higher education,A: New assistance action,7529: NATIONAL INSTITUTES OF HEALTH,F32GM106641,001,47114.00,.00,47114.00,08/20/2013,02/20/2014,02/19/2017,04: Project grant,2: Individual action,C: Current transaction record is a request to replace a previously submitted record that contained data submission errors. Record contains replacement (not delta) values for all data fields that contain submission errors.,,,CALIFORNIA,Berkeley,USA,947201460,9,Biomedical Research and Research Training,NATIONAL INSTITUTES OF HEALTH,The Silyl-Directed Borylation of Aliphatic C-H Bonds,124726725,,75,0851,,481 UNIVERSITY HALL,,,.00,.00,2013,,h: Higher Education,g,CA9,"7500: HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NON,USA,75-127-F32GM106641-001-1-2013-93859-75-0851-NON,CA,,,,,,,,,,,05/05/2014
5264ffd96f1aaa7c78398b57b8df5d27,active,,43.001,SAI EXEMPT,Science,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,BERKELEY,001,Alameda,947045940,06: State controlled institution of higher education,A: New assistance action,8000: NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNX13AE24G,0,142425.00,.00,.00,01/30/2013,01/10/2013,01/09/2016,04: Project grant,2: Individual action,: Current record,,0606000,CA,Berkeley,USA,947045940,13,Science,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,WE PROPOSE A COMPREHENSIVE STUDY TO DETERMINE THE EVOLUTION OF THE ENERGY BUDGET THROUGH COLLISIONLESS SHOCKS. A PARTICULAR EMPHASIS WILL BE ON ELECT,1247267250000,,80,0120,,2150 SHATTUCK AVE RM 313,,,.00,.00,2013,CA,h: Higher Education,g,CA13,8000: NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NON,USA,,CA,,,,,,,,,,,11/06/2013
ef8e1f3e4770ee746a7f7a042062ae02,active,,47.074,SAI EXEMPT,Research and Related Activities,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,Berkeley,001,Alameda,947045940,06: State controlled institution of higher education,A: New assistance action,4900: NATIONAL SCIENCE FOUNDATION,1257701,000,90287.00,.00,.00,02/01/2013,05/01/2013,04/30/2017,04: Project grant,2: Individual action,: Current record,,0606000,California,Berkeley,USA,947203102,CA13,Biological Sciences,NATIONAL SCIENCE FOUNDATION,"COLLABORATIVE RESEARCH:   Resolving an ancient radiation: gingers, phylogenies, and fossils.",124726725,,49,0100,,Sponsored Projects Office,"2150 Shattuck Avenue, Room 313",,.00,.00,2013,CA,h: Higher Education,g,CA13,4900: NATIONAL SCIENCE FOUNDATION,NON,USA,NONA201302011257701000,CA,,,,,,,,,,,03/18/2013
a49f4ab72fefeccc49f92aee1ed4fc78,active,,47.080,SAI EXEMPT,Research and Related Activities,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,Berkeley,001,Alameda,947045940,06: State controlled institution of higher education,A: New assistance action,4900: NATIONAL SCIENCE FOUNDATION,1305078,000,1250000.00,.00,.00,02/20/2013,03/01/2013,02/29/2016,04: Project grant,2: Individual action,: Current record,,0606000,California,Berkeley,USA,947045940,CA13,Office of Cyberinfrastructure,NATIONAL SCIENCE FOUNDATION,I-Corps Node: NSF Bay Area Regional I-Node Program,124726725,,49,0100,,Sponsored Projects Office,"2150 Shattuck Avenue, Room 313",,.00,.00,2013,CA,h: Higher Education,g,CA13,4900: NATIONAL SCIENCE FOUNDATION,NON,USA,NONA201302201305078000,CA,,,,,,,,,,,03/18/2013
5855ec75f4f1cbb0ecd016c47726bc53,active,,84.042,SAI NOT AVAILABLE,Higher Education,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,BERKELEY,001,Alameda,947045940,00: State government,B: Continuation (funding in succeeding budget period which stemmed from prior agreement to fund amount of the current action),"9100: EDUCATION, DEPARTMENT OF",P042A100665,0011,450538.00,.00,450538.00,07/25/2013,09/01/2013,08/31/2014,04: Project grant,2: Individual action,: Current record,,0606000,CALIFORNIA,ALAMEDA,USA,947045940,CA09,TRIO_Student Support Services,"EDUCATION, DEPARTMENT OF",STUDENT SUPPORT SERVICES PROGRAM,124726725,,91,0201,,2150 SHATTUCK AVE RM 313,,,.00,.00,2013,CA,g: Government,g,CA09,"9100: EDUCATION, DEPARTMENT OF",NON,USA,,CA,,,,,,,,,,,08/06/2013
d252a334ecc4e7b09c8b3d89c26f2234,active,,47.074,SAI EXEMPT,Research and Related Activities,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",06000,Berkeley,001,Alameda,947045940,06: State controlled institution of higher education,B: Continuation (funding in succeeding budget period which stemmed from prior agreement to fund amount of the current action),4900: NATIONAL SCIENCE FOUNDATION,1239148,002,167343.00,.00,.00,03/04/2013,03/15/2012,12/31/2015,04: Project grant,2: Individual action,: Current record,,0606000,California,Berkeley,USA,947045940,CA13,Biological Sciences,NATIONAL SCIENCE FOUNDATION,CAREER: An Integrative Approach to Understanding and Communicating Evolution in Action,124726725,,49,0100,,Sponsored Projects Office,"2150 Shattuck Avenue, Room 313",,.00,.00,2013,CA,h: Higher Education,g,CA13,4900: NATIONAL SCIENCE FOUNDATION,NON,USA,NONB201303041239148002,CA,,,,,,,,,,,04/03/2013
