dam_ID,dam_name,dam_height,storage,file,permit,water_right,exempt_category,river,basin,county,wm_district,wm_region,meridian,township,township_char,range,range_char,sctn,latitude,longitude,last_inspection_state,next_inspection,hazard
,Heart Lake or Deep Lake,10,185,H-60,X10-290,,FEDERAL,Fishhole Creek Watershed,14,LAKE,12,SC REGION,WM,38,S,16,E,20,42.2548294,-120.84203338,,,L
OR00001,Bonneville Dam,110,277000,B-2,,,FEDERAL,Columbia River,3,MULT,20,NW REGION,WM,2,N,7,E,22,45.64461135,-121.94069671,,,H
OR00002,The Dalles Dam,117,330000,T-4,,,FEDERAL,Columbia River,0,WASC,3,NC REGION,WM,2,N,13,E,36,45.61359024,-121.13345336,,,H
OR00003,Big Cliff Dam,141,5930,B-6,,,FEDERAL,North Santiam River,2,LINN,16,NW REGION,WM,9,S,4,E,35,44.75093078,-122.28312683,,,H
OR00004,Detroit Reservoir,450,455000,D-13,R-1625,Cert:72755 OR *,FEDERAL,North Santiam River,2,LINN,16,NW REGION,WM,10,S,5,E,7,44.72190093,-122.24999237,,,H
OR00005,Cottage Grove,103,33000,C-28,R-1625,Cert:72755 OR *,FEDERAL,Coast Fork Willamette,2,LANE,2,NW REGION,WM,21,S,3,W,28,43.71596145,-123.05036926,,,H
OR00006,Dexter,117,29900,D-5,,,FEDERAL,M. Fork Willamette River,2,LANE,2,NW REGION,WM,19,S,1,W,15,43.92369079,-122.80563354,,,H
OR00007,Fall Creek Reservoir,205,125000,F-8,R-5363,Cert:72756 CR *,FEDERAL,Fall Creek,2,LANE,2,NW REGION,WM,19,S,1,W,1,43.94615936,-122.75649261,,,H
OR00008,Dorena,145,77500,D-14,R-1625,Cert:72755 OR *,FEDERAL,Row River,2,LANE,2,NW REGION,WM,20,S,2,W,32,43.78678894,-122.95481872,,,H
OR00009,Lookout,276,477700,L-12,R-1625,Cert:72755 OR *,FEDERAL,,2,LANE,2,NW REGION,WM,19,S,1,W,16,43.91479873,-122.7523117,,,H
OR00010,Green Peter Reservoir,378,430000,G-4,R-5363,Cert:72756 CR *,FEDERAL,Middle Santiam River,2,LINN,2,NW REGION,WM,13,S,2,E,10,44.44968032,-122.54884338,,,H
OR00011,John Day Dam,113,2530000,J-1,,,FEDERAL,Columbia River,0,SHER,3,NC REGION,WM,3,N,17,E,27,45.71604156,-120.69348144,,,H
OR00012,Foster Reservoir,126,61000,F-9,R-5363,Cert:72756 CR *,FEDERAL,South Santiam River,2,LINN,2,NW REGION,WM,13,S,1,E,27,44.41514968,-122.67025756,,,H
OR00013,Blue River Dam,312,89500,B-100,R-5363,Cert:72756 CR *,FEDERAL,Blue River,2,LANE,2,NW REGION,WM,16,S,4,E,16,44.17251968,-122.32862854,,,H
OR00014,Hills Creek Reservoir,341,356000,H-5,R-5363,Cert:72756 CR *,FEDERAL,M. Fork Willamette River,2,LANE,2,NW REGION,WM,21,S,3,E,35,43.7096405,-122.42150115,,,H
OR00015,Cougar Reservoir,519,219000,C-104,R-12116,,FEDERAL,South Fork McKenzie River,2,LANE,2,NW REGION,WM,16,S,5,E,32,44.1287117,-122.23873138,,,H
OR00016,Fern Ridge,44,111434,F-5,R-1625,Cert:72755 OR *,FEDERAL,Long Tom River,2,LANE,2,NW REGION,WM,17,S,5,W,4,44.12023925,-123.30191802,,,H
OR00019,"Somerville, The Reservoir",30,2000,S-115,R-44,Cert:446 OR *,,Spring Creek,11,MALH,9,E REGION,WM,32,S,44,E,4,42.79613113,-117.31793975,2011-02-08,2017,L
OR00020,Camp Creek Reservoir (Baker),45,1700,C-1,R-47,Cert:31687 OR *,FEDERAL,Camp Creek & Bull Run Creek,9,BAKE,8,E REGION,WM,13,S,38,E,5,44.4653511,-118.0881195,,,S
OR00021,Fish Lake (Jackson-USBR),50,22500,F-1,XXF-1,,FEDERAL,Fish Lake & Trib,15,JACK,13,SW REGION,WM,37,S,4,E,4,42.37771987,-122.34793853,,,H
OR00022,Four Mile Lake Dam (USBR),45,33000,F-2,XXF-2,,FEDERAL,Four Mile Lake & Tribs,14,KLAM,13,SW REGION,WM,36,S,5,E,8,42.45497894,-122.24446105,,,S
OR00023,JACKSONVILLE DAM,40,75,J-21,R-60,,,Jackson Creek,15,JACK,13,SW REGION,WM,37,S,3,W,25,42.319561,-123.00032806,2015-04-23,2016,H
OR00024,Whited Reservoir (Baker),45,700,W-4,R-72,Cert:29801 OR *,,South Fork of Burnt River,9,BAKE,8,E REGION,WM,13,S,36,E,13,44.44231033,-118.24375152,2013-09-25,2016,S
OR00026,Morfitt Reservoir,20,280,M-62,R-99,Cert:1075 OR *,,Off-Channel,9,BAKE,8,E REGION,WM,13,S,37,E,20,44.42559051,-118.19413757,2011-07-08,2017,L
OR00028,Vanderveer Dam,45,140,V-8,R-106,Cert:3889 OR *,,Dry Creek,10,HARN,10,E REGION,WM,21,S,34,E,4,43.7731018,-118.55117034,2012-05-24,2018,L
OR00029,Lyle Reservoir,12,103,L-41,R-108,Cert:9689 OR *,,Wilson Creek,5,JEFF,11,SC REGION,WM,10,S,15,E,6,44.72661972,-120.97229766,1990-03-05,2016,L
OR00030,Riddles Reservoir,10,80,R-43,R-123,Cert:1406 OR *,FEDERAL,Indian Springs Creek,12,HARN,10,E REGION,WM,33,S,32.75,E,30,42.68812179,-118.76203155,,,L
OR00031,Keene Creek Diversion,67,392,K-1,R-2210,Cert:79216 OR *,FEDERAL,Keene Creek,14,JACK,13,SW REGION,WM,39,S,3,E,33,42.12928009,-122.47799682,,,S
OR00034,Van Patton Lake Dam,14,643,V-13,R-132,Cert:83799 CF *,,North Fork Dutch Flat Creek,9,BAKE,8,E REGION,WM,7,S,37,E,16,44.95655059,-118.18415832,2012-06-15,2018,L
