"dam_ID","dam_name","dam_height","storage","file","permit","water_right","river","basin","county","wm_district","wm_region","meridian","township","township_char","range","range_char","sctn","latitude","longitude","last_inspection","next_inspection","hazard","download_date"
"OR00001","BONNEVILLE DAM",110,277000,"B-2",,,"Columbia River",3,"MULT",20,"NW REGION","WM",2,"N",7,"E",22,45.64461135,-121.94069671,"NSI","NSI","High","5/20/2017"
"OR00002","The Dalles Dam",117,330000,"T-4",,,"COLUMBIA RIVER",,"WASC",3,"NC REGION","WM",2,"N",13,"E",36,45.61359024,-121.13345336,"NSI","NSI","High","5/20/2017"
"OR00003","Big Cliff Dam",141,5930,"B-6",,,"North Santiam River",2,"LINN",16,"NW REGION","WM",9,"S",4,"E",35,44.75093078,-122.28312683,"NSI","NSI","High","5/20/2017"
"OR00004","Detroit Reservoir",450,455000,"D-13","R-1625","Cert:91538 RR *;Inchoate: T  12120 CF (REG) *","North Santiam River",2,"LINN",16,"NW REGION","WM",10,"S",5,"E",7,44.72190093,-122.24999237,"NSI","NSI","High","5/20/2017"
"OR00005","Cottage Grove",103,33000,"C-28","R-1625","Inchoate: T  12120 CF (REG) *;Cert:91538 RR *","Coast Fork Willamette",2,"LANE",2,"NW REGION","WM",21,"S",3,"W",28,43.71596145,-123.05036926,"NSI","NSI","High","5/20/2017"
"OR00006","Dexter",117,29900,"D-5",,,"M. Fork Willamette River",2,"LANE",2,"NW REGION","WM",19,"S",1,"W",15,43.92369079,-122.80563354,"NSI","NSI","High","5/20/2017"
"OR00007","Fall Creek Reservoir",205,125000,"F-8","R-5363","Cert:72756 CR *","Fall Creek",2,"LANE",2,"NW REGION","WM",19,"S",1,"W",1,43.94615936,-122.75649261,"NSI","NSI","High","5/20/2017"
"OR00008","Dorena",145,77500,"D-14","R-1625","Inchoate: T  12120 CF (REG) *;Cert:91538 RR *","Row River",2,"LANE",2,"NW REGION","WM",20,"S",2,"W",32,43.78678894,-122.95481872,"NSI","NSI","High","5/20/2017"
"OR00009","Lookout",276,477700,"L-12","R-1625","Inchoate: T  12120 CF (REG) *;Cert:91538 RR *",,2,"LANE",2,"NW REGION","WM",19,"S",1,"W",16,43.91479873,-122.7523117,"NSI","NSI","High","5/20/2017"
"OR00010","Green Peter Reservoir",378,430000,"G-4","R-5363","Cert:72756 CR *","Middle Santiam River",2,"LINN",2,"NW REGION","WM",13,"S",2,"E",10,44.44968032,-122.54884338,"NSI","NSI","High","5/20/2017"
"OR00011","John Day Dam",113,2530000,"J-1",,,"COLUMBIA RIVER",,"SHER",3,"NC REGION","WM",3,"N",17,"E",27,45.71604156,-120.69348144,"NSI","NSI","High","5/20/2017"
"OR00012","Foster Reservoir",126,61000,"F-9","R-5363","Cert:72756 CR *","South Santiam River",2,"LINN",2,"NW REGION","WM",13,"S",1,"E",27,44.41514968,-122.67025756,"NSI","NSI","High","5/20/2017"
"OR00013","Blue River Dam",312,89500,"B-100","R-5363","Cert:72756 CR *","Blue River",2,"LANE",2,"NW REGION","WM",16,"S",4,"E",16,44.17251968,-122.32862854,"NSI","NSI","High","5/20/2017"
"OR00014","Hills Creek Reservoir",341,356000,"H-5","R-5363","Cert:72756 CR *","M. Fork Willamette River",2,"LANE",2,"NW REGION","WM",21,"S",3,"E",35,43.7096405,-122.42150115,"NSI","NSI","High","5/20/2017"
"OR00015","Cougar Reservoir",519,219000,"C-104","R-12116",,"South Fork McKenzie River",2,"LANE",2,"NW REGION","WM",16,"S",5,"E",32,44.1287117,-122.23873138,"NSI","NSI","High","5/20/2017"
"OR00016","Fern Ridge",44,111434,"F-5","R-1625","Cert:91538 RR *;Inchoate: T  12120 CF (REG) *","Long Tom River",2,"LANE",2,"NW REGION","WM",17,"S",5,"W",4,44.12023925,-123.30191802,"NSI","NSI","High","5/20/2017"
"OR00019","SOMERVILLE, THE RESERVOIR",30,2000,"S-115",,"Cert:446 OR *","Spring Creek",11,"MALH",9,"E REGION","WM",32,"S",44,"E",4,42.79613113,-117.31793975,"02/08/2011",2017,"Low","5/20/2017"
