"county","start_year","enrolled","complete","pc_incomplete"
"Alameda",2001,19392,17318,10.7
"Alameda",2002,18304,16628,9.16
"Alameda",2003,18161,16511,9.09
"Alameda",2004,18127,16542,8.74
"Alameda",2005,17718,16449,7.16
"Alameda",2006,18096,16566,8.45
"Alameda",2007,18196,16655,8.47
"Alameda",2008,17475,15843,9.34
"Alameda",2009,17933,16346,8.85
"Alameda",2010,17721,15988,9.78
"Alameda",2011,19576,17617,10.01
"Alameda",2012,19286,16838,12.69
"Alameda",2013,19633,17441,11.16
"Alameda",2014,20718,18371,11.33
"Alameda",2015,21587,20704,4.09
"Alpine",2001,26,23,11.54
"Alpine",2002,12,10,16.67
"Alpine",2003,14,12,14.29
"Alpine",2004,13,10,23.08
"Alpine",2005,14,13,7.14
"Alpine",2006,16,15,6.25
"Alpine",2007,16,16,0
"Alpine",2008,12,11,8.33
"Alpine",2009,12,11,8.33
"Alpine",2010,13,13,0
"Alpine",2011,12,12,0
"Alpine",2012,19,16,15.79
"Alpine",2013,12,10,16.67
"Alpine",2014,0,0,
"Amador",2001,345,328,4.93
"Amador",2002,336,326,2.98
"Amador",2003,289,272,5.88
"Amador",2004,323,306,5.26
"Amador",2005,314,300,4.46
"Amador",2006,277,262,5.42
"Amador",2007,320,300,6.25
"Amador",2008,334,312,6.59
"Amador",2009,324,303,6.48
"Amador",2010,311,294,5.47
"Amador",2011,315,278,11.75
"Amador",2012,282,255,9.57
"Amador",2013,291,238,18.21
"Amador",2014,266,245,7.89
"Amador",2015,302,263,12.91
"Butte",2001,2508,2276,9.25
"Butte",2002,2365,2183,7.7
"Butte",2003,2369,2203,7.01
"Butte",2004,2405,2223,7.57
"Butte",2005,2396,2219,7.39
"Butte",2006,2497,2297,8.01
"Butte",2007,2325,2130,8.39
"Butte",2008,2494,2290,8.18
"Butte",2009,2503,2242,10.43
"Butte",2010,2497,2210,11.49
"Butte",2011,2562,2269,11.44
"Butte",2012,2625,2317,11.73
"Butte",2013,2661,2289,13.98
"Butte",2014,2707,2364,12.67
"Butte",2015,2879,2604,9.55
"Calaveras",2001,399,368,7.77
"Calaveras",2002,424,387,8.73
"Calaveras",2003,441,405,8.16
"Calaveras",2004,473,415,12.26
"Calaveras",2005,454,397,12.56
"Calaveras",2006,460,395,14.13
"Calaveras",2007,467,381,18.42
"Calaveras",2008,365,302,17.26
"Calaveras",2009,385,288,25.19
"Calaveras",2010,394,297,24.62
"Calaveras",2011,392,315,19.64
"Calaveras",2012,395,308,22.03
"Calaveras",2013,443,338,23.7
"Calaveras",2014,401,326,18.7
"Calaveras",2015,417,369,11.51
"Colusa",2001,322,301,6.52
"Colusa",2002,311,288,7.4
"Colusa",2003,360,337,6.39
"Colusa",2004,356,343,3.65
"Colusa",2005,347,334,3.75
"Colusa",2006,375,366,2.4
"Colusa",2007,373,353,5.36
"Colusa",2008,360,352,2.22
"Colusa",2009,372,369,0.81
"Colusa",2010,369,357,3.25
"Colusa",2011,383,375,2.09
"Colusa",2012,399,390,2.26
"Colusa",2013,426,420,1.41
"Colusa",2014,396,391,1.26
"Colusa",2015,393,392,0.25
"Contra Costa",2001,13544,12752,5.85
"Contra Costa",2002,13572,12982,4.35
"Contra Costa",2003,13575,12875,5.16
"Contra Costa",2004,13550,12955,4.39
"Contra Costa",2005,14203,13601,4.24
"Contra Costa",2006,13655,12961,5.08
"Contra Costa",2007,13985,13144,6.01
"Contra Costa",2008,14066,13176,6.33
"Contra Costa",2009,13786,12831,6.93
"Contra Costa",2010,13868,12775,7.88
"Contra Costa",2011,14357,13514,5.87
"Contra Costa",2012,14583,13671,6.25
"Contra Costa",2013,14786,13900,5.99
"Contra Costa",2014,14603,13701,6.18
"Contra Costa",2015,15317,14577,4.83
"Del Norte",2001,298,288,3.36
"Del Norte",2002,327,314,3.98
