"iso2c","iso3c","country","year","gdp_percap","life_expect","population","co2_percap","region","income"
"AD","AND","Andorra",1994,,,62677,6.4942004243981,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,,63850,6.66205168363352,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,,80991,6.74621871565977,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,,82683,6.51946591197707,"Europe & Central Asia","High income"
"AD","AND","Andorra",1996,,,64360,7.06507147296457,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,,60971,6.73605484574634,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,,64327,7.23971271783233,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,,64142,7.66078388575348,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,,83861,6.42788662191006,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,,84462,6.12165234069759,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,,67341,7.78695000074249,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,,56671,7.18245663566904,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,,78867,7.29987193629782,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,,82431,5.91659691135616,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,,73182,7.31576070618458,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,,64370,7.97545440422557,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,,83751,5.86712994471708,"Europe & Central Asia","High income"
"AD","AND","Andorra",1990,,,54509,7.46733566933901,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,,70049,7.59061514082999,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,,78014,,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,,76244,7.35862494097896,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,,58888,6.91205338948512,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,,80788,5.90075258701787,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,,84449,6.12259470212791,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,,65390,8.01928429423459,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,,79223,5.83216995064565,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",1999,76193.7004779163,74.2500243902439,2988162,26.2284277090733,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2000,81818.6205173162,74.5094634146341,3154925,35.6782592296172,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,74698.2743802594,76.1483414634147,6044067,22.4398012133221,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,58404.0155885493,76.8597804878049,8672475,19.0764887762721,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2014,67551.0023953075,77.3293658536585,9070867,23.3020225078816,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2006,81305.3748081055,75.9441951219512,5242032,23.6310894324949,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,60914.8030820498,77.0191463414634,8900453,19.8176842234884,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1998,76783.5424698263,73.987512195122,2838145,28.7143215022488,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,68902.1990517593,76.3404146341464,6894278,22.8239471921498,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1996,75977.3934186682,73.4586341463415,2571020,15.9700815240644,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2015,70391.2201271925,77.484243902439,9154302,,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1997,79612.8677689215,73.7239024390244,2700010,15.4244313909948,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,56415.0740513142,76.6948780487805,8270684,19.4436902679391,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1995,74045.229872312,73.1922682926829,2448820,28.8469907955668,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2005,82205.9452673222,75.7285365853659,4579562,25.3623726461177,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,64713.1312056033,77.175,9006263,18.9541637858011,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2001,80488.68974057,74.7668780487805,3326032,30.4911534224565,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2003,82571.3609937112,75.2638292682927,3741932,28.5525530661701,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1994,71492.9295989226,72.9242926829268,2328686,31.4043975873089,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,59160.0018484339,76.5224390243903,7666393,21.9085560836759,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2002,79388.0109766278,75.0183170731707,3507232,24.1512489051195,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,70641.7656564284,72.0941219512195,1970026,28.9391353210567,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1990,71786.1128335806,71.8020243902439,1860174,27.9592452103943,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,70495.9605309004,72.3771951219512,2086639,27.8613684494539,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1993,69085.1259883473,72.6532682926829,2207405,29.8904510046865,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2004,85090.2827549,75.5014146341463,4087931,27.7012080194113,"Middle East & North Africa","High income"
"AF","AFG","Afghanistan",2014,1875.44740682017,62.9026829268293,32758020,0.299444990875517,"South Asia","Low income"
"AF","AFG","Afghanistan",1998,,54.4829024390244,18863999,0.0552071700173436,"South Asia","Low income"
"AF","AFG","Afghanistan",2013,1877.4119527561,62.5016097560976,31731688,0.315601773217989,"South Asia","Low income"
"AF","AFG","Afghanistan",1997,,54.0097073170732,18381605,0.0596483821733739,"South Asia","Low income"
"AF","AFG","Afghanistan",2000,,55.4989268292683,20093756,0.0385063399794444,"South Asia","Low income"
"AF","AFG","Afghanistan",2012,1873.15394552307,62.0929756097561,30696958,0.350370580694022,"South Asia","Low income"
"AF","AFG","Afghanistan",1996,,53.5435365853659,17822884,0.066044698489874,"South Asia","Low income"
"AF","AFG","Afghanistan",1993,,51.9702682926829,15095099,0.0891540360218903,"South Asia","Low income"
"AF","AFG","Afghanistan",1999,,54.9751463414634,19403676,0.0423325971841624,"South Asia","Low income"
"AF","AFG","Afghanistan",1995,,53.0624146341464,17099541,0.0726986180506249,"South Asia","Low income"
"AF","AFG","Afghanistan",2009,1482.09883711417,60.7646097560976,28004331,0.241722682109421,"South Asia","Low income"
"AF","AFG","Afghanistan",2004,916.334474798349,57.8912195121951,24118979,0.0393778277264556,"South Asia","Low income"
"AF","AFG","Afghanistan",2003,922.829449153001,57.2658780487805,23064851,0.0518295999397525,"South Asia","Low income"
"AF","AFG","Afghanistan",1994,,52.5438292682927,16172719,0.0800391696659047,"South Asia","Low income"
"AF","AFG","Afghanistan",2008,1247.06614429099,60.2567317073171,27294031,0.154101422395248,"South Asia","Low income"
