"iso2c","iso3c","country","year","gdp_percap","life_expect","population","co2_percap","region","income"
"AD","AND","Andorra",1996,,,64360,7.06507147296457,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,,78867,7.29987193629782,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,,80991,6.74621871565977,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,,63850,6.66205168363352,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,,82683,6.51946591197707,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,,64327,7.23971271783233,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,,64142,7.66078388575348,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,,64370,7.97545440422557,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,,65390,8.01928429423459,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,,67341,7.78695000074249,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,,70049,7.59061514082999,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,,73182,7.31576070618458,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,,76244,7.35862494097896,"Europe & Central Asia","High income"
"AD","AND","Andorra",2016,,,77281,,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,,56671,7.18245663566904,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,,58888,6.91205338948512,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,,60971,6.73605484574634,"Europe & Central Asia","High income"
"AD","AND","Andorra",1994,,,62677,6.4942004243981,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,,83861,6.42788662191006,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,,84462,6.12165234069759,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,,84449,6.12259470212791,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,,83751,5.86712994471708,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,,82431,5.91659691135616,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,,80788,5.90075258701787,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,,79223,5.83216995064565,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,,78014,,"Europe & Central Asia","High income"
"AD","AND","Andorra",1990,,,54509,7.46733566933901,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",1990,71376.1509096463,71.541,1860174,27.9592452103943,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,70238.3389626642,71.837,1970026,28.9391353210567,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,70093.3665128091,72.122,2086639,27.8613684494539,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,74271.6814492489,75.828,6044067,22.4398012133221,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,68508.7068152864,76.012,6894278,22.8239471921498,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,58822.146137623,76.183,7666393,21.9085560836759,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,56074.8806872444,76.344,8270684,19.4436902679391,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,58363.6782159597,76.498,8672475,19.0764887762721,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,60513.6197100592,76.648,8900453,19.8176842234884,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,63839.3355752011,76.798,9006263,18.9541637858011,"Middle East & North Africa","High income"
