"iso2c","iso3c","country","year","gdp_percap","life_expect","population","region","income"
"AD","AND","Andorra",1994,,,62677,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,,63850,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,,80991,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,,82683,"Europe & Central Asia","High income"
"AD","AND","Andorra",1996,,,64360,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,,60971,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,,64327,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,,64142,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,,83861,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,,84462,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,,67341,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,,56671,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,,78867,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,,82431,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,,73182,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,,64370,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,,83751,"Europe & Central Asia","High income"
"AD","AND","Andorra",1990,,,54509,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,,70049,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,,78014,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,,76244,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,,58888,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,,80788,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,,84449,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,,65390,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,,79223,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",1999,76193.7004779163,74.2500243902439,2988162,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2000,81818.6205173162,74.5094634146341,3154925,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,74698.2743802594,76.1483414634147,6044067,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,58404.0155885493,76.8597804878049,8672475,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2014,67551.0023953075,77.3293658536585,9070867,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2006,81305.3748081055,75.9441951219512,5242032,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,60914.8030820498,77.0191463414634,8900453,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1998,76783.5424698263,73.987512195122,2838145,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,68902.1990517593,76.3404146341464,6894278,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1996,75977.3934186682,73.4586341463415,2571020,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2015,70391.2201271925,77.484243902439,9154302,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1997,79612.8677689215,73.7239024390244,2700010,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,56415.0740513142,76.6948780487805,8270684,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1995,74045.229872312,73.1922682926829,2448820,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2005,82205.9452673222,75.7285365853659,4579562,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,64713.1312056033,77.175,9006263,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2001,80488.68974057,74.7668780487805,3326032,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2003,82571.3609937112,75.2638292682927,3741932,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1994,71492.9295989226,72.9242926829268,2328686,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,59160.0018484339,76.5224390243903,7666393,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2002,79388.0109766278,75.0183170731707,3507232,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,70641.7656564284,72.0941219512195,1970026,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1990,71786.1128335806,71.8020243902439,1860174,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,70495.9605309004,72.3771951219512,2086639,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1993,69085.1259883473,72.6532682926829,2207405,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2004,85090.2827549,75.5014146341463,4087931,"Middle East & North Africa","High income"
"AF","AFG","Afghanistan",2014,1875.44740682017,62.9026829268293,32758020,"South Asia","Low income"
"AF","AFG","Afghanistan",1998,,54.4829024390244,18863999,"South Asia","Low income"
"AF","AFG","Afghanistan",2013,1877.4119527561,62.5016097560976,31731688,"South Asia","Low income"
"AF","AFG","Afghanistan",1997,,54.0097073170732,18381605,"South Asia","Low income"
"AF","AFG","Afghanistan",2000,,55.4989268292683,20093756,"South Asia","Low income"
"AF","AFG","Afghanistan",2012,1873.15394552307,62.0929756097561,30696958,"South Asia","Low income"
"AF","AFG","Afghanistan",1996,,53.5435365853659,17822884,"South Asia","Low income"
"AF","AFG","Afghanistan",1993,,51.9702682926829,15095099,"South Asia","Low income"
"AF","AFG","Afghanistan",1999,,54.9751463414634,19403676,"South Asia","Low income"
"AF","AFG","Afghanistan",1995,,53.0624146341464,17099541,"South Asia","Low income"
"AF","AFG","Afghanistan",2009,1482.09883711417,60.7646097560976,28004331,"South Asia","Low income"
"AF","AFG","Afghanistan",2004,916.334474798349,57.8912195121951,24118979,"South Asia","Low income"
"AF","AFG","Afghanistan",2003,922.829449153001,57.2658780487805,23064851,"South Asia","Low income"
"AF","AFG","Afghanistan",1994,,52.5438292682927,16172719,"South Asia","Low income"
"AF","AFG","Afghanistan",2008,1247.06614429099,60.2567317073171,27294031,"South Asia","Low income"
"AF","AFG","Afghanistan",2010,1581.60083598967,61.2354634146342,28803167,"South Asia","Low income"
"AF","AFG","Afghanistan",2007,1210.4792652894,59.7088536585366,26616792,"South Asia","Low income"
