year,type,value
1880,Human,-0.24257984624426854
1881,Human,-0.19523622492869208
1882,Human,-0.27989541137452534
1883,Human,-0.24930647253438565
1884,Human,-0.18001045637538482
1885,Human,-0.18025185546071043
1886,Human,-0.14784916209237053
1887,Human,-0.15853222678765633
1888,Human,-0.21415171091837237
1889,Human,-0.21411604319791877
1890,Human,-0.16449227406587852
1891,Human,-0.19544651707991534
1892,Human,-0.19236229346353184
1893,Human,-0.17307211324873606
1894,Human,-0.18310267862852925
1895,Human,-0.23806455921015868
1896,Human,-0.2278947756400953
1897,Human,-0.2845656946566919
1898,Human,-0.24749675621626466
1899,Human,-0.21969600280891655
1900,Human,-0.20363626366901144
1901,Human,-0.20950139670560475
1902,Human,-0.20797759712399966
1903,Human,-0.18304929850819462
1904,Human,-0.22393154989072173
1905,Human,-0.24413695938028468
1906,Human,-0.27661651142568644
1907,Human,-0.19259626883808778
1908,Human,-0.19584108769322484
1909,Human,-0.16472052846199858
1910,Human,-0.19522269573144513
1911,Human,-0.1582060946379329
1912,Human,-0.2241332157650504
1913,Human,-0.20806983192727557
1914,Human,-0.16723640830542763
1915,Human,-0.1937339763003365
1916,Human,-0.18008264563673038
1917,Human,-0.22210436721161386
1918,Human,-0.18362171616519163
1919,Human,-0.14227096248373527
1920,Human,-0.15882322457525788
1921,Human,-0.1581496920064751
1922,Human,-0.14574582514762824
1923,Human,-0.11913006824437389
1924,Human,-0.14554111358177124
1925,Human,-0.0846833519011625
1926,Human,-0.08658958307665898
1927,Human,-0.1268553075208274
1928,Human,-0.10881512905558566
1929,Human,-0.0904488610310068
1930,Human,-0.12714524175544284
1931,Human,-0.10508773243924452
1932,Human,-0.09711229251314535
1933,Human,-0.10954182842090177
1934,Human,-0.10690533846684502
1935,Human,-0.09632320475606093
1936,Human,-0.08943123031576761
1937,Human,-0.06385623828384723
1938,Human,-0.09918895204555156
1939,Human,-0.1173863249673559
1940,Human,-0.08202416298490789
1941,Human,-0.027972847163709957
1942,Human,-0.07941226054742856
