"iso2c","iso3c","country","year","gdp_percap","life_expect","population","region","income"
"AD","AND","Andorra",1990,,,54509,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,,63850,"Europe & Central Asia","High income"
"AD","AND","Andorra",1996,,,64360,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,,64327,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,,64142,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,,64370,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,,65390,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,,67341,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,,78011,"Europe & Central Asia","High income"
"AD","AND","Andorra",2016,,,77297,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,,56671,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,,58888,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,,60971,"Europe & Central Asia","High income"
"AD","AND","Andorra",1994,,,62677,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,,83862,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,,84463,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,,84449,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,,83747,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,,82427,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,,80774,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,,79213,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,,78867,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,,70049,"Europe & Central Asia","High income"
"AD","AND","Andorra",2017,,,77001,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,,76244,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,,80993,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,,82684,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,,73182,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",2001,80843.6053740994,74.544,3302719,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1995,74994.3806238594,73.194,2415090,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1996,76848.7922425623,73.428,2539126,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1997,80390.0641121818,73.657,2671362,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1994,72471.6872852948,72.957,2294385,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1999,76654.2559063601,74.106,2966034,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2000,82215.3144675388,74.327,3134062,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2002,79863.4897327415,74.758,3478777,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1998,77421.1086600843,73.883,2813214,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1990,72906.5201185176,71.939,1828432,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,71753.7295616253,72.208,1937153,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,71567.8275243133,72.466,2052891,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1993,70082.3893271391,72.715,2173139,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2006,79970.7362497655,75.573,5300174,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,72802.1616020533,75.767,6168838,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,66641.4842821642,75.957,7089487,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,56975.5293797207,76.145,7917372,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,54230.1736731261,76.332,8549988,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,56574.2881750551,76.521,8946777,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,58961.2020108164,76.711,9141596,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2004,85147.2190940121,75.174,4068570,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,62641.8369859443,76.903,9197910,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2014,66443.9975780681,77.095,9214175,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2003,82946.3352073397,74.968,3711932,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2015,70212.0930136688,77.285,9262900,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2005,81635.4679744734,75.376,4588225,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2017,73137.870185481,77.647,9487203,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2016,72386.0904686661,77.47,9360980,"Middle East & North Africa","High income"
"AF","AFG","Afghanistan",1992,,51.641,14485546,"South Asia","Low income"
"AF","AFG","Afghanistan",2012,1806.7639297497,62.054,31161376,"South Asia","Low income"
"AF","AFG","Afghanistan",1991,,50.999,13299017,"South Asia","Low income"
"AF","AFG","Afghanistan",1996,,53.924,18853437,"South Asia","Low income"
"AF","AFG","Afghanistan",1993,,52.256,15816603,"South Asia","Low income"
"AF","AFG","Afghanistan",1994,,52.842,17075727,"South Asia","Low income"
"AF","AFG","Afghanistan",1995,,53.398,18110657,"South Asia","Low income"
"AF","AFG","Afghanistan",2014,1897.52593759488,62.966,33370794,"South Asia","Low income"
"AF","AFG","Afghanistan",1997,,54.424,19357126,"South Asia","Low income"
"AF","AFG","Afghanistan",1998,,54.906,19737765,"South Asia","Low income"
"AF","AFG","Afghanistan",2013,1874.76563448053,62.525,32269589,"South Asia","Low income"
"AF","AFG","Afghanistan",2004,885.840818972452,57.772,24726684,"South Asia","Low income"
"AF","AFG","Afghanistan",2005,979.273978611804,58.29,25654277,"South Asia","Low income"
"AF","AFG","Afghanistan",2006,1031.64313483554,58.826,26433049,"South Asia","Low income"
"AF","AFG","Afghanistan",2007,1176.12635743384,59.375,27100536,"South Asia","Low income"
"AF","AFG","Afghanistan",2008,1218.11821480543,59.93,27722276,"South Asia","Low income"
"AF","AFG","Afghanistan",2009,1454.66301483129,60.484,28394813,"South Asia","Low income"
"AF","AFG","Afghanistan",2010,1637.37798708028,61.028,29185507,"South Asia","Low income"
"AF","AFG","Afghanistan",2011,1626.76479325583,61.553,30117413,"South Asia","Low income"
"AF","AFG","Afghanistan",1999,,55.376,20170844,"South Asia","Low income"
"AF","AFG","Afghanistan",2000,,55.841,20779953,"South Asia","Low income"
"AF","AFG","Afghanistan",2001,,56.308,21606988,"South Asia","Low income"
"AF","AFG","Afghanistan",2002,839.485886051471,56.784,22600770,"South Asia","Low income"
"AF","AFG","Afghanistan",2003,888.153370005426,57.271,23680871,"South Asia","Low income"
"AF","AFG","Afghanistan",2017,1934.63675411354,64.13,36296400,"South Asia","Low income"
"AF","AFG","Afghanistan",1990,,50.331,12412308,"South Asia","Low income"
"AF","AFG","Afghanistan",2015,1886.69297689805,63.377,34413603,"South Asia","Low income"
"AF","AFG","Afghanistan",2016,1896.99251956752,63.763,35383128,"South Asia","Low income"
"AG","ATG","Antigua and Barbuda",1991,11806.2344108132,71.765,63367,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1990,11326.7026239588,71.52,62528,"Latin America & Caribbean","High income"
"AG","ATG","Antigua and Barbuda",1995,12924.3553670001,72.732,68670,"Latin America & Caribbean","High income"
